Produit;Lien
PARKSIDE® Visseuse à percussion sans fil »PASSK 20-Li A1«, 20 V;https://www.lidl.be/p/fr-BE/parkside-visseuse-a-percussion-sans-fil-passk-20-li-a1-20-v/p100335169
PARKSIDE PERFORMANCE Visseuse à chocs sans fil »PASSP 20-Li A2«, 20 V;https://www.lidl.be/p/fr-BE/parkside-performance-visseuse-a-chocs-sans-fil-passp-20-li-a2-20-v/p100339792
